Data,Energy
241,0
1252,1
2545,2
3308,3
3728,4
3926,5
3892,6
3887,7
4284,8
4428,9
4528,10
4637,11
4442,12
4189,13
4159,14
4370,15
4647,16
5261,17
6100,18
7080,19
8032,20
9249,21
10864,22
12243,23
13614,24
13984,25
14013,26
13397,27
12037,28
11448,29
10965,30
10930,31
11032,32
11499,33
12471,34
13415,35
14444,36
14466,37
14232,38
13233,39
11780,40
10128,41
8817,42
7634,43
6814,44
6246,45
5823,46
5521,47
5170,48
4807,49
4604,50
4477,51
4344,52
4240,53
4067,54
3998,55
3937,56
3879,57
3802,58
3838,59
3785,60
3516,61
3521,62
3392,63
3136,64
3118,65
3061,66
3009,67
3095,68
3188,69
3335,70
3431,71
3466,72
3630,73
3815,74
3850,75
3767,76
3707,77
3402,78
3214,79
3004,80
2729,81
2471,82
2208,83
2037,84
1849,85
1687,86
1491,87
1426,88
1363,89
1275,90
1259,91
1175,92
1118,93
1182,94
1053,95
1094,96
1013,97
1029,98
961,99
908,100
878,101
903,102
885,103
820,104
779,105
771,106
734,107
691,108
689,109
686,110
619,111
605,112
590,113
642,114
593,115
574,116
556,117
513,118
533,119
528,120
531,121
515,122
507,123
483,124
471,125
435,126
420,127
397,128
393,129
402,130
408,131
382,132
379,133
361,134
390,135
384,136
385,137
362,138
373,139
365,140
355,141
281,142
336,143
333,144
301,145
317,146
344,147
298,148
261,149
256,150
244,151
250,152
238,153
238,154
242,155
239,156
264,157
236,158
200,159
230,160
225,161
205,162
207,163
203,164
191,165
214,166
192,167
199,168
196,169
204,170
175,171
226,172
187,173
168,174
172,175
180,176
172,177
169,178
158,179
178,180
173,181
176,182
170,183
174,184
158,185
150,186
158,187
164,188
139,189
144,190
158,191
142,192
167,193
148,194
148,195
165,196
167,197
156,198
126,199
148,200
127,201
158,202
141,203
136,204
135,205
134,206
135,207
129,208
114,209
150,210
123,211
121,212
140,213
125,214
135,215
137,216
119,217
112,218
110,219
112,220
116,221
102,222
135,223
126,224
126,225
115,226
135,227
113,228
116,229
117,230
121,231
113,232
106,233
112,234
112,235
101,236
117,237
119,238
123,239
117,240
101,241
120,242
108,243
131,244
103,245
110,246
92,247
101,248
108,249
78,250
82,251
91,252
103,253
98,254
101,255
83,256
88,257
83,258
95,259
69,260
79,261
77,262
76,263
75,264
63,265
75,266
58,267
80,268
63,269
72,270
91,271
62,272
77,273
74,274
67,275
82,276
76,277
73,278
81,279
81,280
66,281
68,282
70,283
76,284
79,285
78,286
71,287
68,288
99,289
83,290
64,291
85,292
80,293
90,294
79,295
72,296
76,297
56,298
89,299
80,300
62,301
86,302
66,303
82,304
68,305
76,306
90,307
78,308
79,309
69,310
86,311
65,312
72,313
65,314
68,315
73,316
54,317
59,318
63,319
55,320
54,321
47,322
57,323
57,324
51,325
57,326
51,327
60,328
58,329
53,330
50,331
51,332
53,333
56,334
49,335
49,336
62,337
42,338
55,339
55,340
63,341
39,342
47,343
38,344
56,345
50,346
35,347
52,348
48,349
46,350
72,351
46,352
44,353
45,354
48,355
56,356
56,357
47,358
39,359
45,360
54,361
49,362
51,363
42,364
52,365
60,366
51,367
51,368
55,369
57,370
67,371
62,372
57,373
50,374
51,375
50,376
45,377
56,378
56,379
59,380
64,381
56,382
57,383
62,384
62,385
47,386
48,387
53,388
51,389
64,390
55,391
53,392
57,393
73,394
47,395
45,396
56,397
54,398
54,399
47,400
51,401
51,402
48,403
27,404
41,405
40,406
41,407
40,408
40,409
51,410
44,411
37,412
48,413
34,414
44,415
51,416
34,417
37,418
36,419
37,420
36,421
36,422
52,423
38,424
33,425
43,426
41,427
30,428
38,429
28,430
38,431
32,432
31,433
41,434
47,435
32,436
39,437
46,438
38,439
37,440
32,441
32,442
38,443
29,444
34,445
44,446
42,447
33,448
34,449
45,450
30,451
34,452
27,453
37,454
33,455
29,456
33,457
38,458
30,459
33,460
33,461
30,462
25,463
36,464
33,465
33,466
40,467
22,468
34,469
17,470
45,471
38,472
25,473
30,474
30,475
27,476
22,477
26,478
27,479
33,480
24,481
20,482
14,483
23,484
28,485
23,486
18,487
22,488
22,489
17,490
20,491
17,492
11,493
17,494
13,495
13,496
18,497
9,498
19,499
13,500
22,501
16,502
8,503
13,504
17,505
9,506
12,507
16,508
15,509
10,510
11,511
8,512
15,513
15,514
11,515
8,516
10,517
16,518
7,519
11,520
15,521
16,522
9,523
16,524
18,525
9,526
14,527
15,528
14,529
10,530
18,531
12,532
15,533
16,534
10,535
13,536
12,537
22,538
19,539
18,540
11,541
19,542
26,543
30,544
20,545
16,546
19,547
24,548
23,549
34,550
30,551
25,552
37,553
29,554
41,555
31,556
32,557
29,558
24,559
29,560
27,561
33,562
21,563
32,564
34,565
30,566
39,567
32,568
29,569
28,570
42,571
32,572
35,573
27,574
34,575
37,576
31,577
18,578
31,579
24,580
14,581
11,582
28,583
17,584
9,585
16,586
19,587
7,588
12,589
10,590
12,591
13,592
9,593
13,594
7,595
7,596
9,597
11,598
9,599
10,600
9,601
6,602
10,603
8,604
9,605
10,606
8,607
12,608
9,609
3,610
4,611
7,612
4,613
9,614
7,615
11,616
7,617
9,618
5,619
6,620
7,621
4,622
8,623
2,624
6,625
8,626
9,627
2,628
7,629
9,630
3,631
3,632
5,633
7,634
3,635
5,636
3,637
5,638
6,639
4,640
6,641
3,642
5,643
8,644
3,645
3,646
1,647
3,648
3,649
2,650
4,651
4,652
5,653
4,654
4,655
7,656
2,657
1,658
6,659
4,660
2,661
3,662
2,663
2,664
6,665
2,666
3,667
12,668
5,669
3,670
3,671
4,672
2,673
4,674
7,675
0,676
5,677
7,678
5,679
2,680
4,681
5,682
7,683
3,684
2,685
4,686
7,687
1,688
5,689
3,690
1,691
3,692
3,693
9,694
4,695
3,696
5,697
7,698
3,699
2,700
8,701
7,702
2,703
1,704
3,705
2,706
1,707
2,708
6,709
6,710
2,711
3,712
4,713
2,714
3,715
3,716
3,717
7,718
3,719
4,720
2,721
2,722
4,723
6,724
1,725
3,726
4,727
4,728
1,729
2,730
2,731
3,732
0,733
8,734
3,735
3,736
3,737
5,738
2,739
2,740
1,741
1,742
0,743
3,744
3,745
2,746
5,747
2,748
3,749
4,750
1,751
2,752
6,753
3,754
4,755
0,756
4,757
2,758
3,759
0,760
3,761
3,762
2,763
7,764
1,765
4,766
2,767
1,768
2,769
6,770
3,771
2,772
3,773
2,774
1,775
6,776
3,777
0,778
2,779
2,780
2,781
3,782
0,783
5,784
1,785
5,786
4,787
3,788
2,789
1,790
0,791
3,792
3,793
2,794
3,795
3,796
4,797
3,798
5,799
3,800
9,801
5,802
3,803
5,804
2,805
1,806
4,807
5,808
2,809
0,810
5,811
1,812
3,813
1,814
4,815
2,816
3,817
4,818
2,819
0,820
3,821
3,822
0,823
3,824
3,825
1,826
3,827
6,828
4,829
2,830
5,831
3,832
5,833
3,834
2,835
0,836
0,837
7,838
2,839
4,840
4,841
1,842
1,843
3,844
3,845
5,846
2,847
4,848
4,849
5,850
2,851
1,852
3,853
6,854
2,855
4,856
0,857
3,858
3,859
2,860
2,861
1,862
3,863
1,864
0,865
1,866
0,867
0,868
7,869
1,870
1,871
1,872
1,873
2,874
2,875
1,876
3,877
2,878
2,879
1,880
3,881
2,882
2,883
1,884
3,885
1,886
2,887
3,888
2,889
2,890
2,891
2,892
0,893
1,894
0,895
1,896
1,897
2,898
3,899
3,900
1,901
2,902
0,903
0,904
1,905
2,906
1,907
1,908
0,909
2,910
2,911
3,912
0,913
0,914
1,915
3,916
0,917
1,918
2,919
0,920
3,921
2,922
0,923
1,924
0,925
1,926
1,927
3,928
3,929
1,930
0,931
3,932
1,933
1,934
0,935
2,936
0,937
3,938
1,939
0,940
2,941
0,942
0,943
2,944
4,945
3,946
1,947
2,948
1,949
0,950
0,951
1,952
0,953
4,954
2,955
2,956
2,957
2,958
2,959
0,960
2,961
3,962
0,963
1,964
1,965
2,966
1,967
0,968
0,969
1,970
3,971
0,972
1,973
3,974
1,975
2,976
2,977
0,978
3,979
1,980
1,981
0,982
1,983
2,984
2,985
2,986
0,987
1,988
0,989
0,990
3,991
1,992
1,993
4,994
0,995
1,996
0,997
1,998
1,999
0,1000
1,1001
2,1002
3,1003
1,1004
1,1005
1,1006
0,1007
1,1008
0,1009
0,1010
0,1011
0,1012
1,1013
0,1014
1,1015
1,1016
2,1017
1,1018
1,1019
0,1020
0,1021
1,1022
1656,1023
