Data,Energy
5678,0
28355,1
54742,2
65714,3
67806,4
65771,5
64693,6
65096,7
67147,8
69798,9
71498,10
74439,11
78510,12
88637,13
102688,14
121337,15
139877,16
151313,17
152181,18
144324,19
131563,20
120177,21
113740,22
112993,23
118708,24
134601,25
162386,26
204655,27
257091,28
312890,29
356431,30
376881,31
364718,32
330837,33
282719,34
235951,35
193846,36
160010,37
130287,38
107110,39
88747,40
76196,41
67504,42
62281,43
59502,44
58044,45
57334,46
57731,47
57372,48
57680,49
57962,50
58955,51
59153,52
59774,53
61028,54
61767,55
62748,56
63414,57
64688,58
64674,59
65429,60
64585,61
64084,62
64014,63
62800,64
62831,65
62346,66
62433,67
63591,68
65566,69
68193,70
71316,71
74793,72
79338,73
81398,74
83453,75
82874,76
81848,77
78407,78
73847,79
68970,80
63615,81
58450,82
53430,83
49484,84
46543,85
44320,86
43402,87
42673,88
42861,89
43559,90
45806,91
47503,92
50373,93
53116,94
55761,95
58439,96
59603,97
60535,98
60505,99
59330,100
57529,101
54819,102
52100,103
48890,104
46518,105
43822,106
42117,107
41247,108
41254,109
42297,110
43611,111
46635,112
49748,113
53848,114
57572,115
61538,116
65071,117
68052,118
70040,119
70393,120
69539,121
68268,122
65326,123
62494,124
58222,125
54013,126
50430,127
47025,128
44168,129
42961,130
42166,131
42980,132
44464,133
47134,134
50504,135
55541,136
59759,137
64552,138
68817,139
73009,140
75178,141
77258,142
77803,143
77433,144
75162,145
72379,146
68510,147
63492,148
58227,149
52741,150
47266,151
42027,152
37183,153
33180,154
29315,155
26114,156
23201,157
20970,158
19679,159
17842,160
16953,161
15608,162
15195,163
14278,164
13926,165
13321,166
12711,167
12231,168
11904,169
11295,170
10936,171
10596,172
10419,173
9900,174
9521,175
9250,176
9143,177
8905,178
8516,179
8663,180
8452,181
8269,182
8172,183
8179,184
8068,185
7863,186
8044,187
7785,188
7748,189
7843,190
7649,191
7715,192
7566,193
7505,194
7360,195
7459,196
7318,197
7022,198
7121,199
7123,200
6796,201
6721,202
6755,203
6572,204
6794,205
6600,206
6442,207
6537,208
6362,209
6424,210
6491,211
6273,212
6318,213
6213,214
6220,215
6408,216
6379,217
6366,218
6569,219
6674,220
6717,221
6976,222
7230,223
7435,224
8121,225
8431,226
9027,227
9707,228
10349,229
11411,230
12286,231
13319,232
14633,233
15910,234
16723,235
18064,236
19687,237
20607,238
21897,239
23268,240
23976,241
24905,242
25351,243
25494,244
25587,245
25846,246
25120,247
24506,248
23931,249
23033,250
22232,251
20690,252
19496,253
17955,254
16611,255
15303,256
13800,257
12807,258
11651,259
10640,260
9756,261
9015,262
8254,263
7452,264
7177,265
6666,266
6262,267
6091,268
5884,269
5691,270
5448,271
5378,272
5240,273
5177,274
5017,275
4992,276
5105,277
4881,278
4967,279
5002,280
4974,281
4853,282
4865,283
4836,284
4964,285
4944,286
4975,287
5118,288
4996,289
4986,290
5031,291
5062,292
5148,293
5086,294
5429,295
5298,296
5319,297
5454,298
5634,299
5609,300
5466,301
5621,302
5604,303
5437,304
5675,305
5714,306
5717,307
5759,308
5634,309
5624,310
5547,311
5544,312
5525,313
5533,314
5276,315
5281,316
5329,317
5121,318
5128,319
4975,320
5000,321
4963,322
4747,323
4741,324
4605,325
4555,326
4538,327
4509,328
4402,329
4384,330
4334,331
4354,332
4180,333
4173,334
4175,335
4265,336
4083,337
4058,338
4060,339
3929,340
3989,341
3934,342
3827,343
3890,344
3934,345
3849,346
3741,347
3708,348
3716,349
3836,350
3696,351
3680,352
3587,353
3603,354
3785,355
3633,356
3652,357
3582,358
3626,359
3616,360
3586,361
3596,362
3530,363
3496,364
3538,365
3497,366
3591,367
3570,368
3417,369
3450,370
3382,371
3450,372
3389,373
3341,374
3314,375
3337,376
3138,377
3137,378
3107,379
3098,380
3145,381
3017,382
2901,383
2918,384
2910,385
2883,386
2793,387
2782,388
2578,389
2640,390
2533,391
2606,392
2521,393
2531,394
2537,395
2555,396
2495,397
2504,398
2451,399
2414,400
2477,401
2396,402
2367,403
2402,404
2502,405
2405,406
2409,407
2481,408
2379,409
2447,410
2442,411
2412,412
2509,413
2463,414
2545,415
2594,416
2656,417
2670,418
2751,419
2752,420
2902,421
2910,422
2986,423
3009,424
3062,425
3323,426
3305,427
3406,428
3535,429
3469,430
3629,431
3743,432
3789,433
3854,434
3956,435
3936,436
3935,437
3927,438
3928,439
4009,440
3990,441
4000,442
3928,443
3846,444
3867,445
3839,446
3917,447
3707,448
3656,449
3476,450
3391,451
3394,452
3310,453
3275,454
3139,455
3023,456
2929,457
2891,458
2844,459
2813,460
2769,461
2610,462
2551,463
2450,464
2465,465
2475,466
2432,467
2321,468
2289,469
2383,470
2352,471
2310,472
2350,473
2357,474
2255,475
2394,476
2293,477
2294,478
2365,479
2299,480
2319,481
2297,482
2343,483
2308,484
2310,485
2238,486
2310,487
2205,488
2388,489
2241,490
2188,491
2065,492
2179,493
2186,494
2137,495
2078,496
2005,497
2022,498
2053,499
1895,500
1969,501
1859,502
1925,503
1875,504
1835,505
1788,506
1784,507
1736,508
1743,509
1741,510
1820,511
1753,512
1700,513
1778,514
1800,515
1701,516
1831,517
1744,518
1749,519
1789,520
1787,521
1765,522
1841,523
1888,524
1862,525
1849,526
1853,527
1902,528
1975,529
1949,530
1934,531
2024,532
2017,533
1983,534
2056,535
2057,536
2083,537
2048,538
2106,539
2050,540
2057,541
2060,542
2131,543
2079,544
2010,545
1981,546
2005,547
1980,548
1955,549
1923,550
1922,551
1926,552
1812,553
1793,554
1892,555
1797,556
1754,557
1676,558
1742,559
1715,560
1637,561
1649,562
1626,563
1665,564
1602,565
1611,566
1563,567
1529,568
1595,569
1573,570
1544,571
1458,572
1474,573
1495,574
1403,575
1423,576
1441,577
1447,578
1420,579
1345,580
1282,581
1365,582
1347,583
1334,584
1340,585
1293,586
1248,587
1264,588
1221,589
1156,590
1156,591
1140,592
1099,593
1150,594
1101,595
1054,596
996,597
1055,598
1007,599
957,600
945,601
914,602
956,603
908,604
880,605
868,606
810,607
819,608
827,609
806,610
752,611
726,612
757,613
757,614
735,615
758,616
681,617
718,618
705,619
645,620
620,621
650,622
669,623
649,624
613,625
657,626
630,627
624,628
620,629
628,630
591,631
620,632
601,633
636,634
611,635
591,636
612,637
645,638
652,639
624,640
651,641
591,642
658,643
690,644
732,645
720,646
743,647
763,648
733,649
832,650
799,651
881,652
929,653
910,654
925,655
947,656
976,657
943,658
1011,659
1098,660
1109,661
1117,662
1066,663
1109,664
1154,665
1166,666
1161,667
1238,668
1189,669
1191,670
1215,671
1187,672
1275,673
1180,674
1159,675
1192,676
1224,677
1141,678
1165,679
1074,680
1131,681
1114,682
1030,683
1037,684
1108,685
995,686
1010,687
966,688
945,689
860,690
858,691
864,692
782,693
758,694
693,695
712,696
649,697
674,698
659,699
618,700
609,701
627,702
580,703
570,704
577,705
522,706
549,707
513,708
504,709
510,710
473,711
471,712
459,713
431,714
457,715
425,716
417,717
374,718
384,719
378,720
384,721
367,722
376,723
385,724
380,725
333,726
354,727
300,728
324,729
333,730
288,731
305,732
280,733
295,734
266,735
290,736
291,737
261,738
278,739
263,740
253,741
231,742
204,743
256,744
235,745
216,746
213,747
234,748
199,749
194,750
190,751
188,752
177,753
195,754
193,755
175,756
163,757
153,758
173,759
165,760
156,761
153,762
157,763
150,764
138,765
158,766
143,767
152,768
116,769
134,770
158,771
144,772
142,773
157,774
118,775
105,776
121,777
126,778
123,779
161,780
177,781
152,782
127,783
121,784
142,785
130,786
153,787
163,788
155,789
135,790
154,791
143,792
172,793
172,794
163,795
165,796
157,797
153,798
176,799
157,800
191,801
169,802
176,803
203,804
179,805
182,806
198,807
200,808
188,809
193,810
183,811
206,812
189,813
198,814
219,815
197,816
218,817
208,818
206,819
216,820
204,821
206,822
218,823
207,824
202,825
218,826
204,827
201,828
177,829
217,830
209,831
175,832
184,833
187,834
178,835
179,836
154,837
190,838
178,839
184,840
161,841
142,842
126,843
136,844
126,845
120,846
123,847
127,848
114,849
106,850
100,851
91,852
105,853
84,854
68,855
70,856
70,857
63,858
82,859
60,860
65,861
56,862
45,863
37,864
44,865
53,866
43,867
39,868
57,869
34,870
38,871
38,872
30,873
34,874
41,875
37,876
36,877
24,878
41,879
34,880
26,881
39,882
29,883
31,884
29,885
32,886
35,887
34,888
32,889
33,890
32,891
46,892
30,893
53,894
37,895
38,896
41,897
45,898
45,899
50,900
35,901
51,902
62,903
53,904
52,905
46,906
56,907
40,908
40,909
32,910
52,911
26,912
49,913
44,914
36,915
58,916
37,917
44,918
36,919
40,920
41,921
44,922
38,923
32,924
30,925
28,926
38,927
23,928
31,929
33,930
29,931
27,932
33,933
29,934
23,935
17,936
32,937
10,938
20,939
20,940
20,941
14,942
15,943
7,944
12,945
15,946
12,947
13,948
13,949
12,950
6,951
11,952
11,953
9,954
9,955
13,956
4,957
5,958
12,959
3,960
9,961
15,962
8,963
6,964
9,965
7,966
9,967
6,968
5,969
8,970
6,971
3,972
9,973
6,974
13,975
4,976
8,977
4,978
5,979
8,980
3,981
5,982
5,983
5,984
12,985
6,986
1,987
4,988
8,989
2,990
10,991
5,992
4,993
4,994
6,995
3,996
9,997
2,998
6,999
6,1000
4,1001
7,1002
7,1003
8,1004
5,1005
6,1006
4,1007
6,1008
2,1009
5,1010
3,1011
5,1012
7,1013
5,1014
8,1015
4,1016
5,1017
2,1018
2,1019
3,1020
2,1021
4,1022
2772,1023
