Data,Energy
2,10
2,11.77
11,13.55
31,15.33
56,17.12
76,18.9
88,20.69
128,22.49
151,24.28
186,26.08
213,27.88
225,29.69
254,31.5
262,33.31
276,35.12
253,36.94
282,38.76
224,40.59
222,42.42
231,44.25
229,46.08
228,47.92
265,49.76
265,51.61
279,53.46
308,55.31
332,57.16
418,59.02
491,60.88
540,62.75
604,64.62
696,66.49
762,68.37
859,70.25
914,72.13
984,74.02
1005,75.91
984,77.81
1026,79.7
1032,81.61
1038,83.51
1036,85.42
1029,87.34
1037,89.26
1061,91.18
993,93.1
1040,95.03
1025,96.97
954,98.91
869,100.85
780,102.79
733,104.74
686,106.7
587,108.65
520,110.62
476,112.58
450,114.55
431,116.53
437,118.51
401,120.49
372,122.48
384,124.47
370,126.47
337,128.47
313,130.47
312,132.48
336,134.49
290,136.51
326,138.53
318,140.56
346,142.59
335,144.63
350,146.67
316,148.71
330,150.76
339,152.82
325,154.88
328,156.94
319,159.01
290,161.08
307,163.16
337,165.24
309,167.33
311,169.42
311,171.52
286,173.62
352,175.73
361,177.84
402,179.96
405,182.08
421,184.2
440,186.33
458,188.47
469,190.61
436,192.76
408,194.91
389,197.07
358,199.23
322,201.4
292,203.57
258,205.75
211,207.93
199,210.12
183,212.31
161,214.51
147,216.71
130,218.92
122,221.13
128,223.35
117,225.58
112,227.81
104,230.05
104,232.29
108,234.53
91,236.79
77,239.04
82,241.31
86,243.58
82,245.85
82,248.13
76,250.42
80,252.71
69,255.01
65,257.31
65,259.62
75,261.93
78,264.25
89,266.58
58,268.91
58,271.25
56,273.6
42,275.95
54,278.3
41,280.66
45,283.03
49,285.4
45,287.78
45,290.17
51,292.56
45,294.96
38,297.36
42,299.77
38,302.19
31,304.61
31,307.04
33,309.48
39,311.92
31,314.37
34,316.82
32,319.28
35,321.75
44,324.22
36,326.7
27,329.18
27,331.68
30,334.18
32,336.68
38,339.19
37,341.71
38,344.24
30,346.77
26,349.3
29,351.85
27,354.4
18,356.96
21,359.52
26,362.09
25,364.67
18,367.26
22,369.85
21,372.45
19,375.05
26,377.66
19,380.28
23,382.91
22,385.54
18,388.18
15,390.83
23,393.48
25,396.14
20,398.81
23,401.49
18,404.17
19,406.86
20,409.55
15,412.26
16,414.97
22,417.69
17,420.41
15,423.14
11,425.88
16,428.63
11,431.38
14,434.15
21,436.91
9,439.69
11,442.47
10,445.27
18,448.06
14,450.87
17,453.68
15,456.5
11,459.33
14,462.17
15,465.01
13,467.87
15,470.72
13,473.59
13,476.47
11,479.35
6,482.24
8,485.14
19,488.04
13,490.95
5,493.88
10,496.8
12,499.74
16,502.69
14,505.64
11,508.6
11,511.57
12,514.54
12,517.53
13,520.52
14,523.52
17,526.53
13,529.55
13,532.57
13,535.61
9,538.65
8,541.7
8,544.76
9,547.82
8,550.9
15,553.98
10,557.07
10,560.17
7,563.28
9,566.39
11,569.52
13,572.65
7,575.79
11,578.94
12,582.1
8,585.27
6,588.44
9,591.62
5,594.82
7,598.02
10,601.23
8,604.45
11,607.67
7,610.91
8,614.15
7,617.41
6,620.67
6,623.94
8,627.22
8,630.51
