Data,Energy
0,23.44
0,28.27
4,33.09
7,37.9
13,42.7
25,47.49
49,52.28
106,57.05
180,61.81
340,66.56
599,71.31
851,76.04
1103,80.77
1383,85.49
1557,90.19
1663,94.89
1661,99.58
1586,104.26
1497,108.94
1378,113.6
1260,118.26
1107,122.9
1060,127.54
1002,132.17
929,136.8
859,141.41
890,146.02
1007,150.62
1056,155.21
1020,159.79
973,164.37
939,168.94
960,173.5
1050,178.06
909,182.6
955,187.14
981,191.67
919,196.2
853,200.72
801,205.23
741,209.73
663,214.23
601,218.72
573,223.21
529,227.69
452,232.16
408,236.63
409,241.09
344,245.54
321,249.99
311,254.43
259,258.87
272,263.3
250,267.72
249,272.14
213,276.55
189,280.96
194,285.37
186,289.76
174,294.16
157,298.54
161,302.93
142,307.3
132,311.68
148,316.04
145,320.41
149,324.77
128,329.12
143,333.47
124,337.81
117,342.16
123,346.49
114,350.82
109,355.15
123,359.48
119,363.8
90,368.12
85,372.43
71,376.74
96,381.05
81,385.35
72,389.65
90,393.95
46,398.24
72,402.53
63,406.82
70,411.1
66,415.38
54,419.66
54,423.94
66,428.21
63,432.48
61,436.75
50,441.02
41,445.28
46,449.54
38,453.8
45,458.06
46,462.32
41,466.57
42,470.82
46,475.07
41,479.32
37,483.57
41,487.82
37,492.06
28,496.3
34,500.55
40,504.79
39,509.03
38,513.27
40,517.5
33,521.74
32,525.98
47,530.22
29,534.45
33,538.69
36,542.92
37,547.16
28,551.39
31,555.63
38,559.86
38,564.1
35,568.33
27,572.57
29,576.8
28,581.04
35,585.28
36,589.51
32,593.75
26,597.99
35,602.23
30,606.47
29,610.71
31,614.95
38,619.19
31,623.44
28,627.69
29,631.93
27,636.18
24,640.43
23,644.68
23,648.94
22,653.19
24,657.45
20,661.71
23,665.97
19,670.24
25,674.5
24,678.77
25,683.04
26,687.32
22,691.59
24,695.87
20,700.15
20,704.44
25,708.73
18,713.02
19,717.31
27,721.61
30,725.91
24,730.21
24,734.52
24,738.83
23,743.14
19,747.46
24,751.78
20,756.1
19,760.43
19,764.76
18,769.1
15,773.44
18,777.79
15,782.14
12,786.49
14,790.85
16,795.21
17,799.58
17,803.95
9,808.33
19,812.71
18,817.1
16,821.49
14,825.89
10,830.29
