Data,Energy
0,23.44
0,28.27
1,33.09
4,37.9
21,42.7
62,47.49
182,52.28
341,57.05
540,61.81
750,66.56
950,71.31
1205,76.04
1385,80.77
1586,85.49
1776,90.19
1864,94.89
1937,99.58
1960,104.26
1984,108.94
1923,113.6
1877,118.26
1836,122.9
1838,127.54
1915,132.17
1934,136.8
1888,141.41
1816,146.02
1938,150.62
2083,155.21
2097,159.79
2125,164.37
2093,168.94
2168,173.5
2242,178.06
2172,182.6
2157,187.14
2216,191.67
2230,196.2
2186,200.72
2170,205.23
2248,209.73
2278,214.23
2227,218.72
2242,223.21
2212,227.69
2164,232.16
2215,236.63
2191,241.09
2188,245.54
2184,249.99
2239,254.43
2188,258.87
2212,263.3
2235,267.72
2201,272.14
2242,276.55
2156,280.96
2245,285.37
2193,289.76
2200,294.16
2264,298.54
2124,302.93
2144,307.3
2101,311.68
1889,316.04
2092,320.41
2084,324.77
2131,329.12
2053,333.47
2070,337.81
1991,342.16
1909,346.49
1957,350.82
1942,355.15
1788,359.48
1776,363.8
1672,368.12
1531,372.43
1438,376.74
1330,381.05
1265,385.35
1139,389.65
1002,393.95
900,398.24
854,402.53
821,406.82
726,411.1
670,415.38
592,419.66
527,423.94
501,428.21
480,432.48
467,436.75
443,441.02
407,445.28
386,449.54
388,453.8
386,458.06
364,462.32
361,466.57
361,470.82
331,475.07
324,479.32
348,483.57
359,487.82
360,492.06
379,496.3
365,500.55
336,504.79
379,509.03
384,513.27
376,517.5
394,521.74
418,525.98
437,530.22
450,534.45
461,538.69
502,542.92
517,547.16
538,551.39
544,555.63
535,559.86
587,564.1
659,568.33
628,572.57
680,576.8
655,581.04
606,585.28
696,589.51
695,593.75
664,597.99
682,602.23
688,606.47
673,610.71
630,614.95
608,619.19
586,623.44
574,627.69
536,631.93
462,636.18
449,640.43
435,644.68
329,648.94
347,653.19
353,657.45
347,661.71
297,665.97
288,670.24
283,674.5
254,678.77
246,683.04
236,687.32
231,691.59
220,695.87
203,700.15
195,704.44
204,708.73
222,713.02
216,717.31
202,721.61
189,725.91
187,730.21
192,734.52
197,738.83
194,743.14
181,747.46
175,751.78
195,756.1
187,760.43
174,764.76
169,769.1
162,773.44
158,777.79
161,782.14
151,786.49
162,790.85
