Data,Energy
0,23.44
0,28.27
0,33.09
5,37.9
43,42.7
79,47.49
138,52.28
246,57.05
533,61.81
838,66.56
1270,71.31
1537,76.04
1837,80.77
1937,85.49
2001,90.19
1865,94.89
1810,99.58
1737,104.26
1315,108.94
977,113.6
1092,118.26
1006,122.9
813,127.54
700,132.17
617,136.8
567,141.41
527,146.02
477,150.62
500,155.21
461,159.79
433,164.37
444,168.94
481,173.5
493,178.06
432,182.6
452,187.14
425,191.67
418,196.2
354,200.72
336,205.23
312,209.73
311,214.23
256,218.72
249,223.21
220,227.69
191,232.16
177,236.63
155,241.09
97,245.54
129,249.99
139,254.43
107,258.87
102,263.3
111,267.72
81,272.14
78,276.55
89,280.96
80,285.37
74,289.76
72,294.16
69,298.54
56,302.93
46,307.3
65,311.68
58,316.04
50,320.41
42,324.77
56,329.12
50,333.47
38,337.81
27,342.16
28,346.49
44,350.82
45,355.15
40,359.48
32,363.8
40,368.12
24,372.43
27,376.74
27,381.05
26,385.35
29,389.65
20,393.95
23,398.24
22,402.53
28,406.82
31,411.1
18,415.38
21,419.66
13,423.94
16,428.21
17,432.48
20,436.75
16,441.02
10,445.28
22,449.54
19,453.8
23,458.06
20,462.32
16,466.57
12,470.82
19,475.07
16,479.32
20,483.57
13,487.82
14,492.06
9,496.3
20,500.55
15,504.79
25,509.03
18,513.27
15,517.5
15,521.74
15,525.98
18,530.22
22,534.45
19,538.69
4,542.92
4,547.16
14,551.39
4,555.63
7,559.86
8,564.1
12,568.33
9,572.57
16,576.8
16,581.04
9,585.28
10,589.51
9,593.75
12,597.99
5,602.23
13,606.47
6,610.71
21,614.95
14,619.19
5,623.44
8,627.69
9,631.93
12,636.18
6,640.43
9,644.68
11,648.94
14,653.19
15,657.45
10,661.71
12,665.97
10,670.24
8,674.5
10,678.77
11,683.04
9,687.32
12,691.59
8,695.87
6,700.15
13,704.44
13,708.73
22,713.02
11,717.31
13,721.61
8,725.91
15,730.21
5,734.52
13,738.83
10,743.14
12,747.46
15,751.78
13,756.1
16,760.43
9,764.76
9,769.1
9,773.44
5,777.79
8,782.14
12,786.49
8,790.85
5,795.21
12,799.58
8,803.95
9,808.33
0,812.71
8,817.1
6,821.49
6,825.89
2,830.29
3,834.7
