Energy (keV),Counts
15,0
16.68,1
18.37,5
20.05,22
21.73,71
23.42,130
25.1,169
26.79,199
28.47,294
30.15,403
31.84,518
33.52,665
35.21,796
36.89,888
38.58,995
40.26,1079
41.95,1112
43.64,1083
45.32,987
47.01,815
48.7,697
50.39,627
52.08,593
53.77,615
55.46,694
57.15,709
58.84,860
60.53,997
62.23,1137
63.92,1265
65.62,1479
67.31,1807
69.01,2141
70.71,2493
72.41,2956
74.11,3214
75.81,3367
77.51,3484
79.21,3356
80.92,3328
82.62,3027
84.33,2807
86.04,2605
87.75,2461
89.46,2378
91.17,2459
92.89,2630
94.6,2740
96.32,2890
98.03,3263
99.75,3700
101.48,4100
103.2,4517
104.92,4899
106.65,5034
108.38,5038
110.1,4873
111.84,4765
113.57,4228
115.3,3595
117.04,3095
118.78,2586
120.52,2291
122.26,2018
124,1796
125.75,1654
127.5,1512
129.25,1491
131,1323
132.76,1348
134.51,1249
136.27,1202
138.03,1130
139.8,1117
141.56,1051
143.33,1007
145.1,931
146.87,923
148.65,919
150.43,876
152.21,862
153.99,875
155.78,905
157.56,838
159.35,868
161.15,814
162.94,750
164.74,741
166.54,764
168.35,704
170.16,690
171.97,681
173.78,721
175.6,651
177.41,652
179.24,607
181.06,606
182.89,626
184.72,665
186.56,648
188.39,639
190.23,691
192.08,675
193.92,660
195.78,725
197.63,722
199.49,706
201.35,654
203.21,647
205.08,602
206.95,562
208.82,547
210.7,545
212.58,512
214.47,469
216.36,454
218.25,424
220.15,363
222.05,322
223.95,295
225.86,290
227.77,289
229.69,275
231.61,268
233.53,256
235.46,243
237.39,275
239.32,243
241.26,240
243.21,224
245.16,214
247.11,216
249.06,193
251.02,221
252.99,232
254.96,208
256.93,181
258.91,193
260.89,189
262.88,185
264.87,178
266.87,162
268.87,156
270.87,160
272.88,151
274.9,146
276.91,140
278.94,134
280.97,138
283,150
285.04,137
287.08,123
289.13,126
291.18,118
293.24,118
295.3,139
297.37,121
299.44,101
301.52,107
303.6,103
305.69,110
307.78,93
309.88,93
311.99,100
314.1,117
316.21,97
318.33,90
320.45,88
322.58,90
324.72,80
326.86,74
329.01,75
331.16,75
333.32,82
335.48,81
337.65,74
339.83,72
342.01,64
344.19,62
346.39,67
348.58,56
350.79,59
353,68
355.21,81
357.43,79
359.66,76
361.9,74
364.13,60
366.38,63
368.63,74
370.89,69
373.15,62
375.42,64
377.7,54
379.98,69
382.27,61
384.57,60
386.87,57
389.18,50
391.49,42
393.81,35
396.14,41
398.47,54
400.82,51
403.16,44
405.52,42
407.88,51
410.24,44
412.62,41
415,43
417.39,39
419.78,42
422.18,45
424.59,43
427,38
429.43,38
431.86,40
434.29,39
436.73,42
439.19,30
441.64,25
444.11,36
446.58,39
449.06,41
451.54,28
454.04,34
456.54,37
459.05,27
461.56,35
464.08,34
466.61,42
469.15,48
471.7,40
474.25,29
476.81,26
479.38,30
481.96,30
484.54,36
487.13,42
489.73,32
492.34,29
494.95,22
497.57,31
500.2,26
502.84,21
505.49,32
508.14,38
510.8,37
513.47,38
516.15,27
518.84,23
521.53,32
524.24,32
526.95,22
529.67,25
532.39,31
535.13,28
537.87,30
540.63,33
543.39,26
546.16,30
548.94,33
551.72,29
554.52,27
557.32,31
560.13,32
562.95,30
565.78,26
568.62,24
571.47,25
574.32,25
577.19,23
580.06,18
582.94,26
585.84,26
588.74,22
591.64,20
594.56,25
597.49,25
600.43,27
603.37,24
606.33,22
609.29,22
612.26,38
615.24,32
618.24,22
621.24,21
624.25,23
627.27,27
630.29,27
633.33,25
636.38,27
639.44,24
642.5,21
645.58,23
648.67,23
651.76,16
654.87,22
657.98,24
661.11,23
664.24,17
667.38,13
670.54,11
673.7,13
676.88,20
680.06,17
683.25,18
686.46,18
689.67,22
692.89,22
696.13,19
699.37,21
702.63,19
705.89,27
709.16,18
712.45,31
715.74,14
719.05,15
722.37,20
725.69,28
729.03,14
732.38,21
735.73,22
739.1,14
742.48,19
745.87,22
749.27,21
752.68,19
756.1,18
759.53,24
762.97,29
766.43,23
769.89,24
773.37,27
776.85,23
780.35,27
783.86,23
787.38,22
790.91,22
794.45,23
798,20
801.56,19
805.14,13
808.72,16
812.32,15
815.93,23
819.55,12
823.18,9
826.82,12
830.47,14
834.14,7
837.81,11
841.5,11
845.2,12
848.91,8
852.63,7
856.37,14
860.11,17
863.87,14
867.64,9
871.42,10
875.21,10
879.02,11
882.83,12
886.66,15
890.5,15
894.35,14
898.21,15
902.09,17
905.98,6
909.88,11
913.79,11
917.71,12
921.65,11
925.6,11
929.56,12
933.53,14
937.52,22
941.52,10
945.53,16
949.55,11
953.58,9
957.63,10
961.69,14
965.76,13
969.85,17
973.95,16
978.06,15
982.18,12
986.31,13
990.46,13
994.62,15
998.8,17
1002.98,14
1007.18,9
1011.4,12
1015.62,13
1019.86,13
1024.11,11
1028.38,13
1032.65,12
1036.94,13
1041.25,13
1045.56,18
1049.89,13
