energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
39.857,0.004,1.06,0.09,0.0000000000065,39.857,183.18,0.0,M1,,,23.2,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2025-12-15
120,1,,,,1474,,1354,,,,,,83,129,Bi,,239,30,(8- 9-),25.0,,2,m,1500,12,B-,33,1,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
124.1,,,,,,,,,,,,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2025-12-15
130,,,,,,,,,,,,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
144.94,,,,,,,,,,,,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2025-12-15
180.2,,0.0032,0.0013,,1800.9,,1620.738,[M1],,,2.08,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
223,1,,,,1354,,1131,,,,,,83,129,Bi,,239,30,(8- 9-),25.0,,2,m,1500,12,B-,33,1,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
275,1,,,,1749,,1474,,,,,,83,129,Bi,,239,30,(8- 9-),25.0,,2,m,1500,12,B-,33,1,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
288.2,0.04,0.337,0.003,0.0000000000001,328.04,0.0000000000065,39.857,M1+E2,0.067,6,0.436,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2025-12-15
328.03,0.04,0.125,0.006,0.0000000000001,328.04,183.18,0.0,M1,,,0.307,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2025-12-15
404,1,,,,1131,,727,,,,,,83,129,Bi,,239,30,(8- 9-),25.0,,2,m,1500,12,B-,33,1,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
433.7,0.5,0.017,0.003,,473.4,0.0000000000065,39.857,M1,,,0.1451,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2025-12-15
452.98,0.05,0.363,0.003,,492.84,0.0000000000065,39.857,M1,,,0.1292,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2025-12-15
473,0.7,0.05,0.004,,473.4,183.18,0.0,M1+E2,,,0.07,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2025-12-15
493.3,0.7,0.003594,0.000006,,492.84,183.18,0.0,,,,,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2025-12-15
576,,0.0003594,0.0000006,,621,0.0000000000065,39.857,,,,,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2025-12-15
620,,0.0010782,0.0000018,,621,183.18,0.0,,,,,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2025-12-15
727,1,,,,727,0.0000002943,0.0,,,,,,83,129,Bi,,239,30,(8- 9-),25.0,,2,m,1500,12,B-,33,1,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
727.33,0.009,6.67,0.09,,727.330,0.0000002943,0.0,E2,,,0.01393,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
785.37,0.08,1.102,0.013,,1512.70,,727.330,M1+E2,0.09,3,0.0387,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
893.408,0.005,0.378,0.019,,1620.738,,727.330,M1+E2,-0.03,3,0.0278,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
952.12,0.011,0.17,0.03,,1679.450,,727.330,M1+E2,0.7,5,0.019,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
1073.6,0.2,0.016,0.0019,,1800.9,,727.330,[E2],,,0.00642,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
1078.62,0.1,0.564,0.019,,1805.96,,727.330,M1+E2,-0.14,4,0.0169,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
1512.7,0.3,0.29,0.04,,1512.70,0.0000002943,0.0,[E2],,,0.00344,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
1620.5,0.1,1.47,0.03,,1620.738,0.0000002943,0.0,(M1),,,0.00620,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
1679.7,0.5,0.058,0.013,,1679.450,0.0000002943,0.0,[E2],,,0.00291,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
1800.2,,,,,1800.9,0.0000002943,0.0,E0,,,,,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,B-,64.06,0.06,2251.5,17,84,128,Po,1-Aug-2020,K. Auranen and E.A. McCutchan,2025-12-15
