energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
14.4129,0.0006,9.16,0.15,0.0000000983,14.4128,,0.0,M1+E2,0.00223,18,8.18,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
122.06065,0.00012,85.6,0.17,0.000000009,136.4737,0.0000000983,14.4128,M1+E2,0.120,1,0.0240,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
136.47356,0.00029,10.68,0.08,0.000000009,136.4737,,0.0,E2,,,0.137,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
230.4,0.4,0.0004,0.0004,0.000000004,366.89,0.000000009,136.4737,(M1+E2),0.02,8,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
339.69,0.21,0.0037,0.0003,,706.76,0.000000004,366.89,M1+E2,0.083,5,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
352.33,0.21,0.003,0.0003,0.000000004,366.89,0.0000000983,14.4128,M1+E2,0.025,9,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
366.8,0.3,0.0012,0.0003,0.000000004,366.89,,0.0,M1+E2,-0.45,5,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
570.09,0.2,0.0158,0.001,,706.76,0.000000009,136.4737,M1+E2,0.097,8,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
692.41,0.07,0.149,0.01,,706.76,0.0000000983,14.4128,M1+E2,-0.465,8,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
706.54,0.22,0.005,0.0005,,706.76,,0.0,[E2],,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
0.728,,1.485780510296928,0.14970778858209022,,,,,,,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
6.391,,16.807075542101764,0.30374702377630697,,,,,,,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
6.404,,32.90987965949043,0.572531975338634,,,,,,,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
7.082,,6.801279471577811,0.1368137594024784,,,,,,,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15
7.082,,6.801279471577811,0.1368137594024784,,,,,,,,,,27,30,Co,,0,,7/2-,271.74,,6,d,23478336,5184,EC,100,,836.4,6,26,31,Fe,24-Sep-1998,M. R. BHAT,2025-12-15

