energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
12.598,0.015,0.28577,0.03491024205014912,0.000000384,89.849,0.000000038,77.23,[E1],,,14.70,,63,89,Eu,,147.86,0.1,8-,96,,1,m,5760,60,IT,100,,,,63,89,Eu,31-Aug-2013,M. J. MARTIN,2025-12-15
18.21,0.04,1.2546,0.20929359760871807,0.00000002,108.06,0.000000384,89.849,M1+E2,0.042,9,51,,63,89,Eu,,147.86,0.1,8-,96,,1,m,5760,60,IT,100,,,,63,89,Eu,31-Aug-2013,M. J. MARTIN,2025-12-15
39.75,0.1,0.0134,0.0003,5760,147.81,0.00000002,108.06,E3,,,7.49E3,,63,89,Eu,,147.86,0.1,8-,96,,1,m,5760,60,IT,100,,,,63,89,Eu,31-Aug-2013,M. J. MARTIN,2025-12-15
77.23,0.04,0.68306,0.049035437185774126,0.000000038,77.23,,0.0,M1+E2,0.10,3,3.91,,63,89,Eu,,147.86,0.1,8-,96,,1,m,5760,60,IT,100,,,,63,89,Eu,31-Aug-2013,M. J. MARTIN,2025-12-15
89.849,0.006,69.7,0.5,0.000000384,89.849,,0.0,E1,,,0.379,,63,89,Eu,,147.86,0.1,8-,96,,1,m,5760,60,IT,100,,,,63,89,Eu,31-Aug-2013,M. J. MARTIN,2025-12-15
117.3,0.3,0.0021,0.0003,,1047.87,,930.63,E2,,,1.410,,63,89,Eu,,45.5998,0.0004,0-,9.3116,,13,h,33521.76,4.68,B-,73,3,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2025-12-15
118.97,0.15,0.00053,0.00011,,1082.816,0.0000000000000199,963.363,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
119.44,0.15,0.0103,0.0014,,1082.88,,963.40,,,,,,63,89,Eu,,45.5998,0.0004,0-,9.3116,,13,h,33521.76,4.68,EC+B+,27,3,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
121.77,0.03,7,0.8,0.00000000143,121.78,,0.0,E2,,,1.155,,63,89,Eu,,45.5998,0.0004,0-,9.3116,,13,h,33521.76,4.68,EC+B+,27,3,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
121.7817,0.0003,28.53,0.16,0.000000001396,121.7818,,0.0,E2,,,1.155,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
125.43,0.17,0.00035,0.00006,,810.44,,684.76,,,,,,63,89,Eu,,45.5998,0.0004,0-,9.3116,,13,h,33521.76,4.68,EC+B+,27,3,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
125.68,0.1,0.00513,0.00019,0.000000000007,810.453,,684.69,[E2],,,1.033,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
137.56,0.22,0.00074,0.00013,,1371.721,0.000000000006,1233.8626,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
148,0.05,0.0205,0.0011,0.000000000006,1233.8626,0.000000000004,1085.8408,M1+E2,1.0,6,0.569,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
150.13,0.08,0.0009,0.00008,,1371.721,,1221.67,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
152.77,0.16,0.0018,0.0003,,963.40,,810.44,[E1],,,0.0872,,63,89,Eu,,45.5998,0.0004,0-,9.3116,,13,h,33521.76,4.68,EC+B+,27,3,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
160,0.5,0.0007,0.0004,,,,,,,,,,63,89,Eu,,45.5998,0.0004,0-,9.3116,,13,h,33521.76,4.68,EC+B+,27,3,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
166.91,0.25,0.0021,0.0008,,,,,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2025-12-15
172.1,0.4,0.00043,0.00021,,1282.24,,1109.200,[E2],,,0.369,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2025-12-15
174.8,0.22,0.00138,0.00019,0.0000000000073,930.546,0.0000000000073,755.3960,,,,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13,1818.8,7,64,88,Gd,31-Aug-2013,M. J. MARTIN,2025-12-15
