energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
91.265,0.005,3.11,0.04,0.00000000104,184.576,0.00000907,93.310,M1+E2,0.06,5,0.083,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
93.31,0.005,38.81,0.03,0.00000907,93.310,,0.0,E2,,,0.87,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
184.576,0.01,21.41,0.01,0.00000000104,184.576,,0.0,M1+E2,0.38,8,0.019,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
208.95,0.01,2.46,0.01,0.0000000001,393.527,0.00000000104,184.576,M1+E2,0.035,21,0.0091,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
300.217,0.01,16.64,0.12,0.0000000001,393.527,0.00000907,93.310,M1+E2,-0.18,1,0.00395,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
393.527,0.01,4.56,0.24,0.0000000001,393.527,,0.0,M1+E2,0.043,10,0.00196,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
494.166,0.015,0.0684,0.0014,,887.693,0.0000000001,393.527,M1+E2,0.14,3,0.00117,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
703.106,0.015,0.0105,0.0009,,887.693,0.00000000104,184.576,,,,0.00063,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
794.381,0.015,0.054,0.0018,,887.693,0.00000907,93.310,E2(+M3),0.04,4,0.00053,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
887.688,0.015,0.148,0.003,,887.693,,0.0,M1+E2,0.96,9,0.00036,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
1.035,,1.847994740150832,0.08374004563863426,,,,,,,,,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
8.616,,17.176652561133213,0.5139281887189318,,,,,,,,,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
8.639,,33.4046140823283,0.986187534600799,,,,,,,,,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
9.61,,7.167365483378496,0.219813747837904,,,,,,,,,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15
9.61,,7.167365483378496,0.219813747837904,,,,,,,,,,31,36,Ga,,0,,3/2-,3.2617,,5,d,281810.88,43.2,EC,100,,1001.2,14,30,37,Zn,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-12-15

