energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
150.81,0.03,0.003,0.000030001499962501876,2910,396.16,0.0000000845,245.35,E3,,,2.31,,49,62,In,,0,,9/2+,2.8047,,4,d,242326.08,34.56,EC,100,,860,3,48,63,Cd,1-Feb-2008,Jean Blachot,2025-12-15
171.28,0.03,90.65,0.9403415602854104,0.00000000012,416.63,0.0000000845,245.35,M1+E2,-0.144,3,0.103,,49,62,In,,0,,9/2+,2.8047,,4,d,242326.08,34.56,EC,100,,860,3,48,63,Cd,1-Feb-2008,Jean Blachot,2025-12-15
245.35,0.04,94.09,0.957962843747084,0.0000000845,245.35,,0.0,E2,,,0.0628,,49,62,In,,0,,9/2+,2.8047,,4,d,242326.08,34.56,EC,100,,860,3,48,63,Cd,1-Feb-2008,Jean Blachot,2025-12-15
537,1,87,5,462,537,242343.36,0.0,M4,,,0.146,,49,62,In,,536.99,0.07,1/2-,7.7,,2,m,462,12,IT,100,,,,49,62,In,1-Feb-2008,Jean Blachot,2025-12-15
3.388,,6.7631966971776,,,,,,,,,,,49,62,In,,0,,9/2+,2.8047,,4,d,242326.08,34.56,EC,100,,860,3,48,63,Cd,1-Feb-2008,Jean Blachot,2025-12-15
3.571,,0.81065130048,0.047723663600131104,,,,,,,,,,49,62,In,,536.99,0.07,1/2-,7.7,,2,m,462,12,IT,100,,,,49,62,In,1-Feb-2008,Jean Blachot,2025-12-15
22.983,,23.56763885408537,,,,,,,,,,,49,62,In,,0,,9/2+,2.8047,,4,d,242326.08,34.56,EC,100,,860,3,48,63,Cd,1-Feb-2008,Jean Blachot,2025-12-15
23.173,,44.32506837330331,,,,,,,,,,,49,62,In,,0,,9/2+,2.8047,,4,d,242326.08,34.56,EC,100,,860,3,48,63,Cd,1-Feb-2008,Jean Blachot,2025-12-15
24.001,,2.587255476897,0.15410758436986519,,,,,,,,,,49,62,In,,536.99,0.07,1/2-,7.7,,2,m,462,12,IT,100,,,,49,62,In,1-Feb-2008,Jean Blachot,2025-12-15
24.209,,4.854137855341463,0.2882345907579166,,,,,,,,,,49,62,In,,536.99,0.07,1/2-,7.7,,2,m,462,12,IT,100,,,,49,62,In,1-Feb-2008,Jean Blachot,2025-12-15
26.184,,12.355094183258297,,,,,,,,,,,49,62,In,,0,,9/2+,2.8047,,4,d,242326.08,34.56,EC,100,,860,3,48,63,Cd,1-Feb-2008,Jean Blachot,2025-12-15
26.381,,14.603721324611305,,,,,,,,,,,49,62,In,,0,,9/2+,2.8047,,4,d,242326.08,34.56,EC,100,,860,3,48,63,Cd,1-Feb-2008,Jean Blachot,2025-12-15
26.641,,2.24862714135301,,,,,,,,,,,49,62,In,,0,,9/2+,2.8047,,4,d,242326.08,34.56,EC,100,,860,3,48,63,Cd,1-Feb-2008,Jean Blachot,2025-12-15
27.367,,1.3619625779508717,0.081909877979849,,,,,,,,,,49,62,In,,536.99,0.07,1/2-,7.7,,2,m,462,12,IT,100,,,,49,62,In,1-Feb-2008,Jean Blachot,2025-12-15
27.581,,1.6207354677615373,0.0971296042060839,,,,,,,,,,49,62,In,,536.99,0.07,1/2-,7.7,,2,m,462,12,IT,100,,,,49,62,In,1-Feb-2008,Jean Blachot,2025-12-15
27.858,,0.2587728898106656,0.01757785678317785,,,,,,,,,,49,62,In,,536.99,0.07,1/2-,7.7,,2,m,462,12,IT,100,,,,49,62,In,1-Feb-2008,Jean Blachot,2025-12-15

