energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
12.984,,0.00175,0.00018,,12.984,6378825.6,0.0,[E2],,,5.7E4,,77,115,Ir,,168.14,0.12,(11-),241,,9,Y,7605219159.876672,284012333.771328,IT,100,,,,77,115,Ir,15-Jun-2012,Coral M. Baglin,2025-12-15
56.71,0.03,0.0351,0.0005,87,56.71,6378825.6,0.0,E3,,,2.85E3,,77,115,Ir,,56.72,0.005,1-,1.45,,5,m,87,3,IT,99.9825,,,,77,115,Ir,15-Jun-2012,Coral M. Baglin,2025-12-15
110.33,0.17,0.0127,0.0008,,690.3705,0.0000000000147,580.2800,M1+E2,0.52,23,3.96,,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,EC,4.76,0.04,1046.7,27,76,116,Os,15-Jun-2012,Coral M. Baglin,2025-12-15
136.39,0.03,0.2,0.02,0.0000000000213,920.91854,0.0000000000042,784.5759,M1+E2,4,3,1.53,,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2025-12-15
155.16,0.12,0.1,0.01,7605219159.876672,168.14,,12.984,(E5),,,1000,,77,115,Ir,,168.14,0.12,(11-),241,,9,Y,7605219159.876672,284012333.771328,IT,100,,,,77,115,Ir,15-Jun-2012,Coral M. Baglin,2025-12-15
176.98,0.04,0.0043,0.001,0.000000000041,1378.03,,1201.0452,[E1],,,0.0954,,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2025-12-15
201.3112,0.0007,0.471,0.006,,690.3705,0.0000000000326,489.0602,M1+E2,-2.7,3,0.379,,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,EC,4.76,0.04,1046.7,27,76,116,Os,15-Jun-2012,Coral M. Baglin,2025-12-15
205.7943,0.00009,3.31,0.03,0.000000000288,205.79442,,0.0,E2,,,0.302,,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,EC,4.76,0.04,1046.7,27,76,116,Os,15-Jun-2012,Coral M. Baglin,2025-12-15
214.7,0.5,,,,,,,,,,,,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2025-12-15
280.27,0.24,0.008,0.004,,1201.0452,0.0000000000213,920.91854,M1(+E2),5.4,LE,0.25,,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2025-12-15
283.2668,0.0008,0.266,0.003,0.0000000000326,489.0602,0.000000000288,205.79442,M1+E2,-3.8,7,0.121,,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,EC,4.76,0.04,1046.7,27,76,116,Os,15-Jun-2012,Coral M. Baglin,2025-12-15
295.9565,0.00015,28.71,0.07,0.0000000000265,612.46320,0.0000000000437,316.50646,M1+E2,10.0,4,0.1047,,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2025-12-15
295.9565,0.00015,18.92,0.03,0.0000000000265,612.46318,0.0000000000437,316.50645,M1+E2,10.0,4,0.1047,,77,115,Ir,,56.72,0.005,1-,1.45,,5,m,87,3,B-,0.0175,,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2025-12-15
308.45507,0.00017,29.7,0.07,0.0000000000213,920.91854,0.0000000000265,612.46320,M1+E2,7.20,3,0.0943,,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2025-12-15
