energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
9.5,,,,,62.68,0.000000000015,53.2260,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
53.2256,0.0016,1.073529,0.010959942967004891,0.000000000015,53.2260,1182.6,0.0,M1+E2,0.038,22,12.20,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
107.22,0.09,0.0068175,0.00136379782225959,,,,,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
137.5,0.3,0.05454,0.013636906137390548,,,,,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
141.3,0.6,0.02727,0.01363547655932861,,,,,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
170.07,0.06,0.014544,0.002727677700902363,,,,,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
196.2,0.05,0.068175,0.009094466724332988,,258.869,,62.68,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
205.68,0.09,0.0113625,0.0013643271235301306,,258.869,0.000000000015,53.2260,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
216.47,0.07,0.009999,0.0022728843987321486,,,,,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
241.995,0.004,7.26291,0.03792461824461783,0.00000000005,295.2236,0.000000000015,53.2260,M1+E2,0.50,8,0.718,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
258.86,0.04,0.5313105,0.00465461872337574,,258.869,1182.6,0.0,M1,,,0.696,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
274.8,0.05,0.3358755,0.008300617917360129,,533.672,,258.869,M1,,,0.590,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
295.224,0.002,18.47088,0.11249527437185973,0.00000000005,295.2236,1182.6,0.0,M1+E2,0.39,7,0.438,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
305.26,0.03,0.031815,0.0022763886421259443,,838.994,,533.672,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
314.32,0.07,0.074538,0.00909533916684804,,377.03,,62.68,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
323.83,0.04,0.0286335,0.0036379697758502612,,377.03,0.000000000015,53.2260,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
351.932,0.0021,35.7237,0.2352736185805795,0.0000000001,351.9323,1182.6,0.0,M1+E2,0.49,10,0.257,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
462.01,0.07,0.2122515,0.00642456771230563,,838.994,,377.03,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
470.6,0.8,0.010908,0.0027273812274781098,,,,,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-12-15
