energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
34.81,0.16,0.00000006,,0.0000000004,635.57,0.0000000000007,600.73,[E2],,,1.30E3,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
186.211,0.013,3.565,0.029,0.00000000032,186.206,330238.08,0.0,E2,,,0.677,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
187.1,0.2,,,0.0000000004,635.57,0.0000000000525,448.48,[E1],,,0.1011,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
262.27,0.05,0.005,0.0005,0.0000000000525,448.48,0.00000000032,186.206,[E2],,,0.2093,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
414.6,0.05,0.0003,0,0.0000000000007,600.73,0.00000000032,186.206,[E1],,,0.01628,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
449.37,0.1,0.00019,0,0.0000000004,635.57,0.00000000032,186.206,[E1],,,0.01373,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
600.66,0.05,0.00049,0,0.0000000000007,600.73,330238.08,0.0,[E1],,,0.00762,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
14.088,,0.782875307941856,,,,,,,,,,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
81.07,,0.19261177670065083,0.0034118004458900133,,,,,,,,,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
83.789,,0.317736352195069,0.005473510923185512,,,,,,,,,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
94.878,,0.11018880055703043,0.0024778131889653266,,,,,,,,,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
96.054,,0.14544921673528016,0.0032239768783984737,,,,,,,,,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15
97.53,,0.03526041617824974,0.0009655206128429176,,,,,,,,,,88,138,Ra,,0,,0+,1600,,7,Y,50491081559.3472,220898481.822144,A,100,,4870.70,25,86,136,Rn,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2025-12-15

