energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
10,,,,69.54,73.92+X,,73.92,,,,,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
20.02,0.02,0.005,0.002039607805437114,,186.73+X,0.00000000055,166.72+X,M1+E2,0.08,2,2.4E2,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
29.49,0.02,0.0012,0.00013862178760930765,0.0000000005,103.42+X,69.54,73.92+X,E2,,,4.40E3,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
57.75,0.1,0.005,0.003026549190084311,,,,,,,,,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
62.86,0.02,0.016,0.002808629559055448,0.0000000001,166.30+X,0.0000000005,103.42+X,M1+E2,0.33,8,25,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
63.29,0.02,3.665,0.3885759127892515,0.00000000055,166.72+X,0.0000000005,103.42+X,E1,,,0.405,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
73.92,0.02,0.013,0.0014427751037497146,,73.92,24120,0.0,(M1+E2),0.11,3,10.6,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
73.92,,,,,177.27+X,0.0000000005,103.42+X,,,,,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
83.3,0.05,0.06,0.005660388679233962,,186.73+X,0.0000000005,103.42+X,[E1],,,0.196,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
87.02,0.06,0.0145,0.0027560116110060206,,,,,(M1+E2),,,15,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
92,0.05,,,,,,,,,,,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
92.38,0.01,2.13,0.20282051178320204,0.0000000001,166.30+X,69.54,73.92+X,M1,,,5.27,,90,144,Th,,0,,0+,24.10,,3,d,2082240,2592,B-,100,,274,3,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2025-12-15
