energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1.5648,0.001,0.0011,,0.000000081,1.5648,,0.0,M1+E2,0.0105,14,4.7E+4,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
5.895,0.02,0.00007,,0.000000000055,32.169,0.000000000629,26.2738,[M1],,,1441,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
26.2738,0.0003,0.0082,0.001,0.000000000629,26.2738,,0.0,M1+E2,0.012,8,72.9,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
30.6,0.03,0.258,0.006,0.000000000055,32.169,0.000000081,1.5648,M1+E2,0.013,5,46.4,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
32.19,0.03,0.263,0.006,0.000000000055,32.169,,0.0,M1+E2,0.020,3,40.2,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
135.34,0.04,2.605,0.032,0.000000000044,167.48,0.000000000055,32.169,M1+E2,-0.07,4,3.32,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
141.1,0.2,0.0026,,0.000000000044,167.48,0.000000000629,26.2738,[E2],,,1.389,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
165.88,0.07,0.147,0.0025,0.000000000044,167.48,0.000000081,1.5648,M1,,,1.869,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
167.43,0.07,10,0.1,0.000000000044,167.48,,0.0,M1+E2,0.07,6,1.815,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
331.1,0.2,86.1,0.4,0.00000000007,331.10,262828.8,0.0,M1+E2,1.33,6,0.161,,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2025-12-15
588.3,0.1,94.63,0.07,0.00211,919.40,0.00000000007,331.10,[E3],,,0.0567,,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2025-12-15
11.777,,42.2,1.7,,,,,,,,,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
12.148,,5.61988854994,0.2654634422084423,,,,,,,,,,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2025-12-15
68.894,,27,0.3,,,,,,,,,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
70.82,,45.8,0.4,,,,,,,,,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
70.832,,3.8386132731699147,0.12507910319265156,,,,,,,,,,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2025-12-15
72.874,,6.4797658223665,0.20936132112792685,,,,,,,,,,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2025-12-15
80.316,,15.5,0.3,,,,,,,,,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
81.285,,20.1,0.3,,,,,,,,,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
82.477,,4.55,0.11,,,,,,,,,,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2025-12-15
82.629,,2.203693916317338,0.07837407992122633,,,,,,,,,,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2025-12-15
83.631,,2.858191009463587,0.1010522442131441,,,,,,,,,,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2025-12-15
84.866,,0.6544970931462494,0.025753254885093155,,,,,,,,,,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2025-12-15

