energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
8.41017,0.00015,0.3593,0.008706295322351523,0.00000000409,8.41017,,0.0,M1+E2,0.0328,5,263,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
20.752,0.009,0.1965371,0.0019126612899308649,0.000000000302,138.93315,0.000000000062,118.18945,M1+E2,0.0292,16,54.9,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
24.2,0.02,0.000388,0.000005,46,24.199,2766355.2,0.0,E3,,,2.58E5,,70,99,Yb,,24.1999,0.0016,1/2-,46,,2,s,46,2,IT,100,,,,70,99,Yb,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
39.58,,,,,,,,,,,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
42.76,,0.25151,0.0008399999999999999,0.00000000014,472.88128,,430.121,,,,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
45.94,,0.010779,0.000036,,878.35,,832.42,,,,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
50.61,,0.53895,0.0018,,832.42,,781.796,,,,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
50.86,,0.53895,0.0018,,430.121,0.0000000522,379.26678,,,,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
51.51,,0.017965,0.00006,0.0000000000416,367.65,0.0000006599,316.14633,,,,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
62.45,,,,,,,,,,,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
63.01,,2.1558,0.0072,,781.796,,718.786,,,,,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
63.12044,0.00003,43.61902,0.23129371997527298,0.0000000522,379.26678,0.0000006599,316.14633,E1,,,1.098,,70,99,Yb,,0,,7/2+,32.018,,5,d,2766355.2,432,EC,100,,899.1,8,69,100,Tm,15-Jun-2008,CORAL M. BAGLIN,2025-12-15
